Name (FQDN);Model;Is virtual;Operating system;OS version;Comments;Class;CPU count;CPU core count;IP address;RAM (MB);Company identifier;Status;Serial number;Used for;location;model
ABC123.raiffeisen.hu;IBM ABC123-ABC123;false;AIX;AIX 7.2 7200-05-03-2136;CI-abc;AIX Server;;;14.2.19.236;;RBHU;Installed;ABC123;Production;ABC - DC - Server Room;IBM ABC123-ABC123
ABC123.rbtest.local;VMware Virtual Platform;true;Windows;Microsoft Windows Server 2012 (64-bit);;Windows Server;1;1;13.3.12.11;4;RBCZ;Installed;;Production;ABC_Hraskeho;VMware Virtual Platform
ABC123.rbko-kosovo.com;VMware, Inc. VMware Virtual Platform;false;Linux CentOS;1.1.2004;;Linux Server;40;1;15.5.0.23;11705;RBKO;Installed;;Production;;VMware, Inc. VMware Virtual Platform
ABC123.rbko-kosovo.com;Cisco Application Service;false;GNU/Linux;5.8.1.4;;Server;0;0;15.1.5.24;0;RBKO;Installed;ABC123;Production;;Cisco Application Service
ABC123.rb.cz;VMware Virtual Platform;true;Windows;Microsoft Windows Server 2019 (64-bit);;Windows Server;2;2;13.2.134.19;8;RBCZ;Installed;;Test;ABC_Hraskeho;VMware Virtual Platform
ABC123.rbko-kosovo.com;VMware, Inc. VMware Virtual Platform;false;Linux CentOS;6.1;;Linux Server;4;1;15.4.5.34;16081;RBKO;Installed;;Production;;VMware, Inc. VMware Virtual Platform
ABC123.raiffeisen.hu;IBM ABC123-ABC123;false;AIX;AIX 7.2 7200-05-03-2136;CI-abc;AIX Server;;;14.5.73.129;;RBHU;Installed;ABC123;Production;ABC - DC - Server Room;IBM ABC123-ABC123
ABC123.raiffeisen.hu;IBM ABC123-ABC123;false;AIX;AIX 7.1 7100-05-03-1846;CI-abc;AIX Server;;;14.1.29.133;;RBHU;Installed;ABC123;Production;ABC 11-13- Server Room;IBM ABC123-ABC123
ABC123.rbko-kosovo.com;VMware, Inc. VMware Virtual Platform;true;Linux CentOS;1.1.1810;;Linux Server;4;1;15.3.0.24;7821;RBKO;Installed;ABC123;Production;;VMware, Inc. VMware Virtual Platform
ABC123.raiffeisen.hu;IBM ABC123-ABC123;false;AIX;AIX 7.2 7200-05-03-2136;CI-abc;AIX Server;;;14.4.73.63;;RBHU;Installed;ABC123;Production;ABC - DC - Server Room;IBM ABC123-ABC123
ABC123.rb.cz;VMware Virtual Platform;true;GNU/Linux;Red Hat Enterprise Linux release 8.6 (Ootpa);;Linux Server;2;2;13.5.134.24;5.88;RBCZ;Installed;;Production;ABC_GAD;VMware Virtual Platform
ABC123.raiffeisen.hu;IBM ABC123-ABC123;false;AIX;AIX 7.2 7200-05-03-2136;CI-abc;AIX Server;;;14.3.28.249;;RBHU;Installed;ABC123;Test;ABC - DC - Server Room;IBM ABC123-ABC123
ABC123.rb.cz;VMware Virtual Platform;true;Windows;Microsoft Windows Server 2019 (64-bit);;Windows Server;4;4;13.1.101.34;16;RBCZ;Installed;;Production;ABC_GAaD;VMware Virtual Platform
adonis-ABC123.rb.cz;VMware Virtual Platform;true;Windows;Microsoft Windows Server 2012 (64-bit);;Windows Server;2;2;13.4.16.54;4;RBCZ;Installed;;Production;ABC_Hraskeho;VMware Virtual Platform
ABC123-01.rbko-kosovo.com;Unknown-ABC123;false;Linux CentOS;1.1.2003;;Linux Server;2;4;15.2.0.35;23947;RBKO;Installed;;Production;;Unknown-ABC123
